ID	Location	Latitude	Longitude	Species	Captive	colour	relatedness	newgroup	oldgroup
MW315	Finland	61.4495643	29.4624741	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW409	Finland	61.55018	29.5024	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW412	Finland	61.74291	26.11372	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW318	Finland	61.783573	28.1717304	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W49	Finland	62.0982	30.50865	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW316	Finland	62.1754058	28.8588172	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW1015	Finland	62.2118357	30.3615205	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW991	Finland	62.2118357	30.3615205	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW402	Finland	62.66788	30.93949	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW414	Finland	62.66788	30.93949	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW1011	Finland	62.6734482	30.9116358	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW1021	Finland	62.77375	30.98756	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW769A	Finland	62.9798322	28.6776393	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W25	Finland	63.00205	30.56424	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW774A	Finland	63.360105	28.0620065	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW782A	Finland	63.65746	28.1430702	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W50	Finland	63.7542	29.21604	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W67	Finland	63.78787	28.08007	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W3	Finland	63.81928	26.66727	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W61	Finland	63.8847	28.39758	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W5	Finland	63.89053	26.32077	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W87	Finland	63.93188	29.98621	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW761A	Finland	63.97505089	27.24177132	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW755A	Finland	63.9863282	25.7203108	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W48	Finland	64.07259	27.55402	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW1200	Finland	64.19581738	27.74480137	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
