ID	admixture	Location	age	Latitude	Longitude	Species	Label	oldgroup	newgroup	newgroupfull
MW753A	5	Finland	2013	64.30203085	29.89646548	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW755A	5	Finland	2015	63.9863282	25.7203108	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW757A	NA	Finland	2016	64.3020309	29.8964655	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW758A	5	Finland	2016	63.89533153	28.19380148	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW760A	NA	Finland	2016	63.5892968	29.539554	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW761A	5	Finland	2015	63.97505089	27.24177132	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW762A	NA	Finland	2016	63.9750509	27.2417713	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW763A	5	Finland	2016	63.8239611	26.734501	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW765A	NA	Finland	2015	63.981444	26.5422133	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW769A	NA	Finland	2017	62.9798322	28.6776393	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW770A	5	Finland	2017	60.9200038	24.0787996	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW771A	NA	Finland	2017	63.8713608	27.5911336	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW774A	NA	Finland	2017	63.360105	28.0620065	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW779A	NA	Finland	2017	63.6224031	28.053088	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW782A	NA	Finland	2017	63.65746	28.1430702	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW972	NA	Finland	2020	60.9416289	24.1897366	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW974	5	Finland	2016	64.6777454	29.7761469	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW983	5	Finland	2018	68.7514441	28.4500799	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW984	5	Finland	2018	65.6989764	27.64602	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
MW991	5	Finland	1982	62.2118357	30.3615205	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
W12	5	Finland	2001	64.35293	30.02992	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
W13	NA	Finland	2020	62.35584	30.10892	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
W14	NA	Finland	2020	63.6614	29.80055	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
W15	NA	Finland	2020	64.69704	26.398	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
W16	NA	Finland	2020	63.69178	28.49546	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
W17	NA	Finland	2020	63.54006	30.07035	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
W18	NA	Finland	2020	64.27375	28.82116	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
W19	NA	Finland	2020	66.06104	25.71121	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
W20	NA	Finland	2020	64.06776	29.01471	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
W21	NA	Finland	2020	63.46851	28.96664	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
W22	NA	Finland	2020	65.04528	27.36766	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
W23	NA	Finland	2020	61.25126	26.90788	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
W24	NA	Finland	2020	64.46547	29.32468	Wolf	Wolf_Modern	Karelian	CKAR	Central Karelian
