ID	admixturegroup	newgroup	newgroupfull	colour	Location	age	Latitude	Longitude	Species	related	oldgroup
MW535	1	EASIA	Eastern Asian	#DB3A34	Russia	2015	60.760583	128.023531	Wolf	Nonrelated	EASIA
MW538	1	EASIA	Eastern Asian	#DB3A34	Russia	2015	72.384805	114.594015	Wolf	Nonrelated	EASIA
MW539	1	EASIA	Eastern Asian	#DB3A34	Russia	2015	63.349629	124.076338	Wolf	Nonrelated	EASIA
MW540	1	EASIA	Eastern Asian	#DB3A34	Russia	2015	63.37469	143.005505	Wolf	Nonrelated	EASIA
MW561	1	EASIA	Eastern Asian	#DB3A34	Mongolia	2018	43.71147	111.91448	Wolf	Nonrelated	EASIA
MW563	1	EASIA	Eastern Asian	#DB3A34	Mongolia	2018	47.89048	106.95719	Wolf	Nonrelated	EASIA
MW564	1	EASIA	Eastern Asian	#DB3A34	Mongolia	2018	47.89048	106.95719	Wolf	Nonrelated	EASIA
MW574	1	EASIA	Eastern Asian	#DB3A34	Mongolia	2019	47.89048	106.95719	Wolf	Nonrelated	EASIA
MW575	1	EASIA	Eastern Asian	#DB3A34	Mongolia	2019	47.89048	106.95719	Wolf	Nonrelated	EASIA
MW576	1	EASIA	Eastern Asian	#DB3A34	Mongolia	2019	47.89048	106.95719	Wolf	Nonrelated	EASIA
MW577	1	EASIA	Eastern Asian	#DB3A34	Mongolia	2019	47.89048	106.95719	Wolf	Nonrelated	EASIA
MW578	1	EASIA	Eastern Asian	#DB3A34	Mongolia	2019	47.89048	106.95719	Wolf	Nonrelated	EASIA
MW588	1	EASIA	Eastern Asian	#DB3A34	Mongolia	2019	48.73024	98.23747	Wolf	Nonrelated	EASIA
MW601	1	EASIA	Eastern Asian	#DB3A34	Mongolia	2018	43.19782	107.19761	Wolf	Nonrelated	EASIA
MW607	1	EASIA	Eastern Asian	#DB3A34	Mongolia	2019	47.17159	110.81555	Wolf	Nonrelated	EASIA
MW608	1	EASIA	Eastern Asian	#DB3A34	Mongolia	2019	47.17159	110.81555	Wolf	Nonrelated	EASIA
MW610	1	EASIA	Eastern Asian	#DB3A34	Mongolia	2019	47.17159	110.81555	Wolf	Nonrelated	EASIA
MW874	1	EASIA	Eastern Asian	#DB3A34	Russia	2020	53	50	Wolf	Nonrelated	EASIA
MW875	1	EASIA	Eastern Asian	#DB3A34	Russia	2020	53	50	Wolf	Nonrelated	EASIA
MW886	1	EASIA	Eastern Asian	#DB3A34	Ukraine	2011	50.5301	30.4224	Wolf	Nonrelated	EASIA
Shanxi1Wolf	1	EASIA	Eastern Asian	#DB3A34	China	2020	37.6384029	110.156489	Wolf	Nonrelated	EASIA
Wang_GW1	1	EASIA	Eastern Asian	#DB3A34	Russia	2020	50.843683	84.6522059	Wolf	Nonrelated	EASIA
Wang_GW2	1	EASIA	Eastern Asian	#DB3A34	Russia	2020	65.6873915	156.795897	Wolf	Nonrelated	EASIA
Novembre_Chinese_Wolf	1	EASIA	Eastern Asian	#DB3A34	China	2015	NA	NA	ZWolf	Nonrelated	EASIA
MW015	2	EEL	Eastern European Lowlands	#0072B2	Lithuania	2009	54.054096	24.528943	Wolf	Nonrelated	EEL
MW021	2	EEL	Eastern European Lowlands	#0072B2	Lithuania	2009	56.213542	24.925611	Wolf	Nonrelated	EEL
MW027	2	EEL	Eastern European Lowlands	#0072B2	Lithuania	2009	54.97959	24.739058	Wolf	Nonrelated	EEL
MW039	2	EEL	Eastern European Lowlands	#0072B2	Lithuania	2010	54.470509	24.798117	Wolf	Nonrelated	EEL
MW040	2	EEL	Eastern European Lowlands	#0072B2	Lithuania	2010	53.996045	23.803762	Wolf	Nonrelated	EEL
MW1081	2	EEL	Eastern European Lowlands	#0072B2	Russia	2020	53.32	48.06	Wolf	Nonrelated	EEL
MW1101	2	EEL	Eastern European Lowlands	#0072B2	Belarus	1995	52.86	24.14	Wolf	Nonrelated	EEL
MW1102	2	EEL	Eastern European Lowlands	#0072B2	Belarus	1995	52.94	24.06	Wolf	Nonrelated	EEL
MW1103	2	EEL	Eastern European Lowlands	#0072B2	Belarus	1999	52.58	23.85	Wolf	Nonrelated	EEL
MW1104	2	EEL	Eastern European Lowlands	#0072B2	Belarus	1999	51.78	29.75	Wolf	Nonrelated	EEL
MW1105	2	EEL	Eastern European Lowlands	#0072B2	Belarus	1999	55.33	30.67	Wolf	Nonrelated	EEL
MW1106	2	EEL	Eastern European Lowlands	#0072B2	Belarus	2000	55.67	30.5	Wolf	Nonrelated	EEL
MW1108	2	EEL	Eastern European Lowlands	#0072B2	Belarus	2000	54.3	29.67	Wolf	Nonrelated	EEL
