ID	Location	Latitude	Longitude	Species	Captive	newgroup	colour	unrelated	refpanel	dups	hybrids	related	grouping	newgroup2
AW106_merged	Norway	61.59308	9.754201	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW106_merged	related	SCAN
AW111_merge	Norway	61.467809	10.969047	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW111_merge	related	SCAN
AW112_merged	Norway	61.465473	11.341461	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW112_merged	related	SCAN
AW113_merged	Norway	60.761507	9.115285422	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW113_merged	related	WFIN
AW129_merged	Norway	60.882072	11.562468	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW129_merged	related	SCAN
AW130_merge	Norway	58.428586	8.215235	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW130_merge	related	SCAN
AW172B_merged_Hredit	Slovakia	48.6616	19.02129	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	AW172B_merged_Hredit	related	CAR
D-00-12	Sweden	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	D-00-12	related	SCAN
D-00-15	Norway	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	D-00-15	related	SCAN
D-01-18	Norway	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	D-01-18	related	SCAN
D-07-16	Sweden	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	D-07-16	related	SCAN
D-07-28	Sweden	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	D-07-28	related	SCAN
D-08-10	Sweden	59.3116101	14.3161926	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	D-08-10	related	SCAN
D-10-15	Sweden	60.7260156	14.6059004	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	D-10-15	related	SCAN
D-10-20	Sweden	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	D-10-20	related	SCAN
D-10-29	Sweden	60.5682335	13.2498168	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	D-10-29	related	SCAN
D-10-68	Sweden	62.0197239	12.8715016	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	D-10-68	related	SCAN
D-11-17	Sweden	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	D-11-17	related	SCAN
D-11-22	Sweden	59.4179131	15.3301383	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	D-11-22	related	SCAN
D-85-02	Sweden	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	D-85-02	related	SCAN
D-86-01	Sweden	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	D-86-01	related	SCAN
D-92-01	Sweden	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	D-92-01	related	SCAN
D-92-02	Norway	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	D-92-02	related	SCAN
D-93-03	Sweden	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	D-93-03	related	SCAN
D-94-01	Sweden	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	D-94-01	related	SCAN
D-96-01	Sweden	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	D-96-01	related	SCAN
D-99-02	Sweden	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	D-99-02	related	SCAN
G109-11	Sweden	59.2766869	14.7364393	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	G109-11	related	SCAN
G111-14	Sweden	62.810058	13.7641873	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	G111-14	related	SCAN
G139-12	Sweden	62.1586274	12.344931	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	G139-12	related	SCAN
G23-13	Sweden	66.8788386	23.515903	Canis lupus	wild	NA	NA	NA	G23-13	#N/A	#N/A	G23-13	related	WFIN
G31-13	Sweden	66.8788386	23.515903	Canis lupus	wild	NA	NA	NA	G31-13	#N/A	#N/A	G31-13	related	WFIN
G32-12	Sweden	60.3309585	12.8369568	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	G32-12	related	SCAN
G37-10	Sweden	61.2251131	15.4663207	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	G37-10	related	WFIN
